brother_position,brother_position_text,brother_position_text_ab,brother_position_which,brother_position_which_ab,brother_status,brother_aliveage,brother_yemendeceased,brother_dieyear,brother_diemonth,brother_diedage,brother_governorate,brother_cod,PARENT_KEY,KEY
0,oldest,الأول,oldest,الأول,alive,65,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,43,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,40,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,deceased,,yes,2007,,26,aden,injury_accident,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour[4]
0,oldest,الأول,oldest,الأول,alive,51,,,,,,,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,47,,,,,,,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,38,,,,,,,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/brother/brotheryour[3]
0,oldest,الأول,oldest,الأول,alive,59,,,,,,,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,57,,,,,,,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,55,,,,,,,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,51,,,,,,,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d/survey/siblingsyour/brother/brotheryour[4]
4,fifth,الخامس,fifth,الخامس,alive,49,,,,,,,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d/survey/siblingsyour/brother/brotheryour[5]
0,oldest,الأول,oldest,الأول,alive,39,,,,,,,uuid:412f00d7-6973-40b9-bd77-b069e65c8e15,uuid:412f00d7-6973-40b9-bd77-b069e65c8e15/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,31,,,,,,,uuid:412f00d7-6973-40b9-bd77-b069e65c8e15,uuid:412f00d7-6973-40b9-bd77-b069e65c8e15/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,28,,,,,,,uuid:412f00d7-6973-40b9-bd77-b069e65c8e15,uuid:412f00d7-6973-40b9-bd77-b069e65c8e15/survey/siblingsyour/brother/brotheryour[3]
0,oldest,الأول,oldest,الأول,alive,40,,,,,,,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,38,,,,,,,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,35,,,,,,,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,33,,,,,,,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7/survey/siblingsyour/brother/brotheryour[4]
4,fifth,الخامس,fifth,الخامس,alive,24,,,,,,,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7/survey/siblingsyour/brother/brotheryour[5]
0,oldest,الأول,,,alive,32,,,,,,,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,alive,55,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,50,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,46,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,40,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/brother/brotheryour[4]
4,fifth,الخامس,fifth,الخامس,alive,38,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/brother/brotheryour[5]
0,oldest,الأول,,,alive,36,,,,,,,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,alive,30,,,,,,,uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee,uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,17,,,,,,,uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee,uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,,,alive,39,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,alive,41,,,,,,,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,38,,,,,,,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,34,,,,,,,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,27,,,,,,,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/siblingsyour/brother/brotheryour[4]
0,oldest,الأول,oldest,الأول,alive,50,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,48,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,deceased,,yes,2018,,45,sanaa,injury_intentional,uuid:bde79937-de35-489e-a142-1336ada8ddfc,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,46,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour[4]
4,fifth,الخامس,fifth,الخامس,alive,40,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour[5]
5,sixth,السادس,sixth,السادس,alive,38,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour[6]
6,seventh,السابع,seventh,السابع,alive,35,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour[7]
0,oldest,الأول,oldest,الأول,alive,48,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,38,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,,,alive,13,,,,,,,uuid:e68dfb82-32da-4dd1-a345-7af610d861d4,uuid:e68dfb82-32da-4dd1-a345-7af610d861d4/survey/siblingsyour/brother/brotheryour[1]
