brother_kid_position,brother_kid_position_text,brother_kid_position_text_ab,brother_kid_position_text_F_ab,brother_kid_position_which,brother_kid_position_which_ab,brother_kid_gender,brother_kid_position_which_gender_ab,brother_kid_status,brother_kid_aliveage,brother_kid_yemendeceased,brother_kid_dieyear,brother_kid_diemonth,brother_kid_diedage,brother_kid_governorate,brother_kid_cod,PARENT_KEY,KEY
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,40,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1],uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,39,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1],uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,38,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1],uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,37,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1],uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[4]
4,fifth,الخامس,الخامسة,fifth,الخامس,male,الخامس,alive,36,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1],uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[5]
5,sixth,السادس,السادسة,sixth,السادس,female,السادسة,alive,33,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1],uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[6]
6,seventh,السابع,السابعة,seventh,السابع,male,السابع,alive,28,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1],uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[7]
7,eighth,الثامن,الثامنة,eighth,الثامن,female,الثامنة,alive,22,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1],uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[8]
8,ninth,التاسع,التاسعة,ninth,التاسع,male,التاسع,alive,10,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1],uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[9]
9,tenth,العاشر,العاشرة,tenth,العاشر,male,العاشر,alive,8,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1],uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[10]
