sisterspouse_position,sisterspouse_position_text,sisterspouse_position_text_ab,sisterspouse_position_which,sisterspouse_position_which_ab,sisterspouse_status,sisterspouse_aliveage,sisterspouse_yemendeceased,sisterspouse_dieyear,sisterspouse_diemonth,sisterspouse_diedage,sisterspouse_governorate,sisterspouse_cod,PARENT_KEY,KEY
0,oldest,الأولى,,,alive,36,,,,,,,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
0,oldest,الأولى,oldest,الأولى,alive,38,,,,,,,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,36,,,,,,,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,33,,,,,,,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7,uuid:c2abdf7f-6cfc-4509-8eaa-31e111b676b7/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,oldest,الأولى,alive,24,,,,,,,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,18,,,,,,,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,deceased,,yes,2010,,6,sanaa,unknown,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,oldest,الأولى,alive,36,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,32,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
0,oldest,الأولى,oldest,الأولى,alive,30,,,,,,,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,25,,,,,,,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
2,third,الثالثة,third,الثالثة,alive,22,,,,,,,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[3]
0,oldest,الأولى,oldest,الأولى,unknown,,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
1,second,الثانية,second,الثانية,alive,62,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[2]
0,oldest,الأولى,oldest,الأولى,alive,47,,,,,,,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/ifspouse/siblingsspouse/spousesisters/sisterspouse[1]
