sister_kid_position,sister_kid_position_text,sister_kid_position_text_ab,sister_kid_position_text_F_ab,sister_kid_position_which,sister_kid_position_which_ab,sister_kid_gender,sister_kid_position_which_gender_ab,sister_kid_status,sister_kid_aliveage,sister_kid_yemendeceased,sister_kid_dieyear,sister_kid_diemonth,sister_kid_diedage,sister_kid_governorate,sister_kid_cod,PARENT_KEY,KEY
0,first,الأول,الأولى,,,female,,alive,2,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/sister/sisteryour_kid[2],uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,,,male,,alive,5,,,,,,,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/sister/sisteryour_kid[1],uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,12,,,,,,,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/sister/sisteryour_kid[2],uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,10,,,,,,,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/sister/sisteryour_kid[2],uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,21,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,18,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,9,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,male,الرابع,alive,6,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[4]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,8,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[2],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,6,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[2],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,3,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[2],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,16,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,13,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,9,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,7,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[4]
4,fifth,الخامس,الخامسة,fifth,الخامس,male,الخامس,unknown,,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[5]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,12,,,,,,,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d/survey/siblingsyour/sister/sisteryour_kid[1],uuid:c5eeba9a-be67-4911-8ce1-4280afab883d/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,8,,,,,,,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d/survey/siblingsyour/sister/sisteryour_kid[1],uuid:c5eeba9a-be67-4911-8ce1-4280afab883d/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
